,Need,Availability,Date
0,49,40,04-01-2021
1,45,47,04-02-2021
2,55,29,04-03-2021
3,55,35,04-04-2021
4,42,40,04-05-2021
5,56,37,04-06-2021
6,50,37,04-07-2021
7,49,44,04-08-2021
8,43,44,04-09-2021
9,41,32,04-10-2021
10,55,39,04-11-2021
11,54,35,04-12-2021
12,46,36,04-13-2021
13,55,38,04-14-2021
14,53,34,04-15-2021
15,55,40,04-16-2021
16,50,41,04-17-2021
17,58,39,04-18-2021
18,57,42,04-19-2021
19,42,44,04-20-2021
20,41,43,04-21-2021
21,49,29,04-22-2021
22,51,40,04-23-2021
23,45,44,04-24-2021
24,39,42,04-25-2021
25,42,33,04-26-2021
26,51,39,04-27-2021
27,42,41,04-28-2021
28,49,47,04-29-2021
29,49,32,04-30-2021
