Date,Need,Availability
2021-04-01,44,42
2021-04-02,44,46
2021-04-03,54,33
2021-04-04,51,33
2021-04-05,42,35
2021-04-06,50,39
2021-04-07,48,33
2021-04-08,52,35
2021-04-09,44,36
2021-04-10,49,41
2021-04-11,50,37
2021-04-12,57,39
2021-04-13,44,38
2021-04-14,55,37
2021-04-15,52,37
2021-04-16,46,32
2021-04-17,49,32
2021-04-18,59,37
2021-04-19,44,44
2021-04-20,48,46
2021-04-21,56,43
2021-04-22,45,46
2021-04-23,54,33
2021-04-24,47,34
2021-04-25,49,44
2021-04-26,62,37
2021-04-27,45,45
2021-04-28,53,36
2021-04-29,43,39
2021-04-30,41,51
